ride_id,driver_id,rider_id,city_id,product,vehicle_type,is_ev,start_time,end_time,pickup_lat,pickup_lon,pickup_hex_id9,drop_lat,drop_lon,drop_hex_id9,distance_km,duration_mins,surge_multiplier,fare_amount,uber_fee,net_earnings,tips,payment_type,date
58e20c15-9b2e-4458-ac00-107bcf9564cd,E10111,R2231,3,UberX,car,FALSE,2023-01-13 23:50:00,2023-01-14 00:10:00,52.09319,5.17695,89b5443252677be,52.08017,5.16125,896326c3e14b5c2,9,20,1.22,17.54,4.38,13.16,0,cash,2023-01-13
e02cff2b-bb4f-4b76-a97a-a2cca9477275,E10152,R2133,4,UberX,car,FALSE,2023-02-10 05:13:00,2023-02-10 05:25:00,51.41972,5.50334,89fa132b2821409,51.46578,5.5221,898e2394712bd2c,4.79,12,1.01,8.48,2.12,6.36,1.8,card,2023-02-10
779d0691-f33d-4d00-991b-983d3171e420,E10157,R2534,3,UberPool,car,TRUE,2023-02-25 18:27:00,2023-02-25 18:53:00,52.05469,5.119,89df88c01c5d375,52.10705,5.13061,8947d4823562561,6.59,26,1.36,12.87,3.22,9.65,0,card,2023-02-25
b08070cf-4a5f-432f-a04d-4fa35382aa87,E10024,R2265,2,UberGreen,car,TRUE,2023-02-20 23:58:00,2023-02-21 00:24:00,51.94535,4.51494,8923a24a0c47657,51.90919,4.45792,89cf8728790df33,8.24,26,1.22,17.96,4.49,13.47,0.51,wallet,2023-02-20
c5479c2b-d878-4986-bc0c-112284e8c495,E10146,R2126,3,UberX,car,TRUE,2023-01-16 18:42:00,2023-01-16 19:13:00,52.1056,5.13254,897df7e0ca6a6f7,52.05785,5.06818,8900b3581cd6ec3,7.5,31,1.36,17.15,4.29,12.86,0,wallet,2023-01-16
4ed97ae5-57ed-4a25-aa6e-bc61d8acc5a0,E10131,R2351,1,UberX,car,FALSE,2023-04-08 07:54:00,2023-04-08 08:06:00,52.36298,4.90663,8919eb8c2a35840,52.33967,4.84363,8917722e7a09e1d,5.22,12,1.36,11.55,2.89,8.66,0,card,2023-04-08
484d0dfe-8c37-4bfd-bd43-ab7a261fcde8,E10037,R2152,4,UberPool,car,FALSE,2023-04-03 10:01:00,2023-04-03 10:13:00,51.40426,5.44594,89f51aaedc99a91,51.47999,5.45092,891471d28d62842,5,12,1.13,8.37,2.09,6.28,0,wallet,2023-04-03
4facbc2f-5a3b-438d-aaa1-cf3cc078c18e,E10139,R2204,2,UberX,car,FALSE,2023-04-13 15:44:00,2023-04-13 16:09:00,51.95784,4.51581,89789fcc7e414bb,51.90016,4.49205,89bcf96a911d280,7.73,25,1.04,12.99,3.25,9.74,0,cash,2023-04-13
f83dc1c2-8235-4a8b-abf7-36c95a65c1bc,E10020,R2341,1,UberGreen,car,TRUE,2023-01-17 11:54:00,2023-01-17 12:04:00,52.38348,4.8606,890f5c9b5567ac0,52.33935,4.84197,899f0d0666540d6,2.81,10,1.12,6.03,1.51,4.52,0,cash,2023-01-17
bde0433b-d549-4519-a9df-8d7cb87c2d48,E10147,R2192,2,UberX,car,TRUE,2023-01-13 06:37:00,2023-01-13 06:52:00,51.95763,4.51981,89320e6ff14c88f,51.91335,4.45377,89115866d9b5d07,7.27,15,0.97,11.56,2.89,8.67,0,cash,2023-01-13
b78e60c3-9ff8-4fe1-8eb2-730f3fcfe08d,E10153,R2573,5,UberX,car,FALSE,2023-01-25 23:44:00,2023-01-26 00:05:00,52.07719,4.28746,89b90693526bd48,52.05223,4.32063,89cada6507dfd33,6.19,21,1.19,12.61,3.15,9.46,0.15,wallet,2023-01-25
2e60b19f-a4d4-49b2-a756-270edffde43d,E10057,R2274,5,UberPool,car,FALSE,2023-01-02 09:53:00,2023-01-02 10:26:00,52.04473,4.29302,89f496ab23d0ee3,52.05596,4.32588,8979e2c729257d8,2.94,33,1.39,6.19,1.55,4.64,0,card,2023-01-02
c6d1c9bb-81a9-48ef-b230-81085d90deb1,E10058,R2095,1,UberX,car,FALSE,2023-01-22 08:59:00,2023-01-22 09:31:00,52.34498,4.84592,8944f1370adc963,52.38706,4.85387,893892c864e6d46,8.98,32,1.25,18.06,4.51,13.55,0,cash,2023-01-22
2c7fbec6-2f6f-4e99-89dc-c21d795fdb52,E10014,R2214,3,UberGreen,car,TRUE,2023-03-23 08:48:00,2023-03-23 09:20:00,52.11078,5.13259,896000d1a335ea2,52.1072,5.13543,89daaf41b19fbca,8.65,32,1.28,19.69,4.92,14.77,0,card,2023-03-23
85c4103b-8f34-426f-a222-dc6f3a445318,E10061,R2226,4,UberX,car,TRUE,2023-03-05 14:05:00,2023-03-05 14:38:00,51.48256,5.45089,89838ee868889eb,51.41812,5.50513,890c622fa58b9a6,8.72,33,0.99,14.08,3.52,10.56,0,wallet,2023-03-05
b4e1358c-5c0c-4619-8d81-2b42072788fa,E10120,R2258,4,UberGreen,car,TRUE,2023-03-23 08:21:00,2023-03-23 08:44:00,51.40649,5.45487,8913be4059be3a7,51.40833,5.44349,8982f651f8c8717,6.98,23,1.4,17.5,4.38,13.12,0,wallet,2023-03-23
462d2b67-1231-4f43-ae3b-521a0965ccc4,E10027,R2269,1,UberX,car,FALSE,2023-03-04 14:32:00,2023-03-04 15:03:00,52.3397,4.84998,89ee7f3a87a47b9,52.36684,4.93222,898d3b4aaa5704d,1.2,31,1.04,2.82,0.7,2.12,2.76,card,2023-03-04
b7c85e4b-bc61-447a-a1ba-65a0fdd5bc6f,E10046,R2388,3,UberGreen,car,TRUE,2023-01-07 11:37:00,2023-01-07 11:56:00,52.06058,5.07112,89bc6045272ac13,52.10687,5.1383,89a60d07800fb0a,7.42,19,1.05,14.29,3.57,10.72,0,cash,2023-01-07
a3046aea-bb9a-493f-b5a4-57d62d40b4e9,E10045,R2130,2,UberGreen,car,TRUE,2023-02-03 08:51:00,2023-02-03 09:25:00,51.95846,4.52482,89b111c44ebdfc9,51.88518,4.43505,89382a76cc55653,7.42,34,1.29,17.03,4.26,12.77,0,cash,2023-02-03
ccfc2b44-7dd1-4b53-b9fa-f8f6d7b8168b,E10003,R2225,3,UberX,car,FALSE,2023-02-01 20:05:00,2023-02-01 20:33:00,52.05715,5.12198,89838191748d8d1,52.0601,5.07344,89a60a4045e5ee4,6.65,28,1.05,11.4,2.85,8.55,0,wallet,2023-02-01
267dd9c7-9d56-4d5b-9b44-991c3ccc123f,E10063,R2232,1,UberBlack,car,FALSE,2023-03-06 15:42:00,2023-03-06 15:53:00,52.3853,4.8602,890d90e02fce5eb,52.35877,4.90065,8967f7f32cd31f3,3.9,11,1.05,10.81,2.7,8.11,0,cash,2023-03-06
e85ec763-8509-4c90-a1b6-94af2c658ae9,E10135,R2247,5,UberBlack,car,FALSE,2023-02-20 16:13:00,2023-02-20 16:31:00,52.09194,4.30978,896e81efdf369a4,52.08941,4.24913,892d5f7e506a78a,11.31,18,1.45,42.41,10.6,31.81,0,cash,2023-02-20
be729937-5206-449e-9908-a81f48d898f6,E10010,R2305,1,UberX,car,FALSE,2023-04-30 16:54:00,2023-04-30 17:20:00,52.34462,4.84438,89365f1e5a29395,52.36697,4.93133,89150bc669fcb1f,4.09,26,1.34,9.4,2.35,7.05,3.36,wallet,2023-04-30
f861bfcb-4698-4e28-b436-cdfd96720ece,E10080,R2357,2,UberX,car,TRUE,2023-01-01 09:00:00,2023-01-01 09:32:00,51.95855,4.51971,894685a251d6e1e,51.9436,4.52049,8956d0345a5cc86,6.69,32,1.27,14.17,3.54,10.63,3.33,cash,2023-01-01
2a347932-33fe-4cde-9669-9f26308b8113,E10082,R2300,1,UberGreen,car,TRUE,2023-03-19 21:21:00,2023-03-19 21:58:00,52.38321,4.85809,8977f4fc6f38947,52.34071,4.84148,89962af1d6ef470,7.65,37,1.27,16.99,4.25,12.74,0,wallet,2023-03-19
a6333231-295e-4e56-9bbe-fde75e66878c,E10024,R2416,2,UberGreen,car,TRUE,2023-01-24 00:26:00,2023-01-24 01:05:00,51.9434,4.51788,897554287049984,51.94737,4.51849,89f2594df1e345f,5.96,39,1.08,11.37,2.84,8.53,0,cash,2023-01-24
81720f85-7661-48d9-9619-cc8b42c241d2,E10112,R2200,5,UberBlack,car,TRUE,2023-02-17 17:02:00,2023-02-17 17:43:00,52.03383,4.33594,89938574e3c16aa,52.09367,4.31067,8977919494178fa,7.7,41,1.41,28.34,7.08,21.26,0,wallet,2023-02-17
934f52c6-a5d4-4534-88ec-a5940cc82524,E10033,R2375,4,UberX,car,TRUE,2023-03-23 02:23:00,2023-03-23 02:54:00,51.40771,5.45669,89920166e28e6ec,51.40854,5.44365,89c79a8d455921b,5.55,31,1.13,11.11,2.78,8.33,0,card,2023-03-23
cfa309fe-37e9-4bca-b5bb-6280bb535088,E10057,R2305,1,UberX,car,FALSE,2023-02-26 17:00:00,2023-02-26 17:20:00,52.36623,4.92825,8966321cc5cda01,52.38657,4.85667,898c4e149edef63,9.02,20,1.41,21.03,5.26,15.77,2.94,wallet,2023-02-26
980bbb6b-a9a6-47d0-95ae-3536f215e77a,E10067,R2094,5,UberX,car,TRUE,2023-03-21 10:43:00,2023-03-21 11:14:00,52.09407,4.3076,89842c7c325a32c,52.09097,4.30425,899a0c1179afc2c,2.31,31,0.97,4.7,1.18,3.52,0,cash,2023-03-21
4636b161-c9a9-4367-8e11-e54c442d5068,E10127,R2587,3,UberX,car,FALSE,2023-04-28 02:46:00,2023-04-28 03:24:00,52.05773,5.07175,89c6395c5110510,52.05315,5.12191,89d9ccc1027c512,7.64,38,0.96,12.31,3.08,9.23,0,card,2023-04-28
cb8f5f87-e3b4-456b-a40b-2a5686095117,E10054,R2146,2,UberX,car,TRUE,2023-03-16 04:27:00,2023-03-16 04:37:00,51.91347,4.45455,8946cdd3853d9f6,51.9587,4.52059,89b231bffca3d12,4.24,10,1.08,8,2,6,0,card,2023-03-16
c8c6ed03-6956-44ae-86df-6405a91d87b7,E10095,R2130,1,UberX,car,FALSE,2023-04-08 17:58:00,2023-04-08 18:18:00,52.34085,4.84816,8960a1661c5e638,52.34006,4.84298,89b8ece9e789d3f,3.78,20,1.41,9.12,2.28,6.84,0,cash,2023-04-08
f38c5cb8-1f90-4d0b-87d8-b14ea1f3f868,E10110,R2268,4,UberGreen,car,TRUE,2023-03-03 03:40:00,2023-03-03 04:18:00,51.47954,5.4514,8939f4dc1894bd7,51.46183,5.51612,89d50af1fc22e36,6.53,38,1.1,13.11,3.28,9.83,1.19,cash,2023-03-03
bbaac112-b49e-4d3c-afc5-79e979d066df,E10148,R2098,1,UberGreen,car,TRUE,2023-03-02 09:34:00,2023-03-02 09:46:00,52.33036,4.90335,89c580e46fe2dd8,52.36274,4.9017,89724eefd58e9fd,8.44,12,1.25,18.3,4.58,13.72,0,wallet,2023-03-02
935d9ce7-d4b5-4d0e-b1fb-ef0885fc6326,E10071,R2236,4,UberPool,car,FALSE,2023-02-14 17:49:00,2023-02-14 18:18:00,51.40943,5.44974,89241e36166a15f,51.46641,5.51544,895978a99929089,4.55,29,1.33,9.53,2.38,7.15,0,card,2023-02-14
f2b1bbbc-b608-4089-af97-85a0f35768f5,E10081,R2278,3,UberGreen,car,TRUE,2023-03-26 10:25:00,2023-03-26 10:34:00,52.10887,5.13809,896054d79a4a015,52.09551,5.17871,895bc6ec2dde47f,8.49,9,1.15,17.02,4.26,12.76,0,wallet,2023-03-26
0bfabf6f-e29b-48a2-baaf-d3d49b26068c,E10053,R2479,5,UberPool,car,FALSE,2023-01-19 07:42:00,2023-01-19 07:53:00,52.08235,4.28554,8904b7192478664,52.09643,4.30355,8927da31fc542ad,5.97,11,1.31,11.42,2.86,8.56,0,wallet,2023-01-19
daf369f1-d764-44e5-b804-3d6c77699af0,E10075,R2355,4,UberX,car,FALSE,2023-02-18 21:05:00,2023-02-18 21:36:00,51.46722,5.51603,89658759f2ff801,51.46507,5.51754,89eeb509422d7ef,1.2,31,1.14,3.51,0.88,2.63,0,wallet,2023-02-18
9c5f9047-8e29-489d-acee-d8224dff15c5,E10087,R2000,1,UberX,car,FALSE,2023-04-20 04:57:00,2023-04-20 05:27:00,52.34098,4.84301,8914baf8aa08245,52.36238,4.9302,89bee7f3adb6ca3,5.53,30,0.96,9.71,2.43,7.28,0,wallet,2023-04-20
