city_id,hexagon_id9,job_count,cancellation_rate_pct
1,89006b0cd89bafa,1,3.19
1,89009ee895aef1a,1,4.11
1,8900a1e8c1d3063,1,6.12
1,8900b8a822cf4dd,1,3.71
1,8900de9ec6aaa4a,1,4.06
1,8901740d50cbf90,1,6.51
1,890212a91086353,1,1.19
1,89023c74731f3cf,1,4.2
1,8903b8bd23a462b,1,1.94
1,8903dec841d4be5,1,2.54
1,8903ef918c210e0,1,6.89
1,8904406d7ed9715,1,7.2
1,89045488ae85f67,1,1.19
1,89047a12a32b139,1,4.19
1,89048bf6d3bde2f,1,4.04
1,8904b1f4bcbfe75,1,1.97
1,8904b97da4804de,1,5.8
1,8905585a61ce2fb,1,1.95
1,890565c8d416f6d,1,2.21
1,8905893c1e22911,1,8.98
1,89058e469e144f9,1,6.01
1,890591329181b06,1,2.77
1,890594c383e52d1,1,2.14
1,89059c90bd813e4,1,1.19
1,89065476b4f0055,1,4.72
1,8906aa3a2b5e96a,1,5.38
1,8906b634a9a3f99,1,1.28
1,8906b7f55cb7627,1,3.26
1,8906c73ac8a462c,1,1.82
1,89070fdfb4225a8,1,3.8
1,8907390cc9678bb,1,2.64
1,890771d79c0f256,1,5.23
1,89077338ef637f7,1,1.41
1,890777bbddec459,1,4.72
1,8907a8734e2a1ee,1,1.29
1,89083309eb53f0a,1,7.62
1,890837aa201a60d,1,3.36
1,89086bc22cff227,1,1.72
1,8908b5a3f8975cf,1,8.43
1,8908fa185a82aa8,1,2.63
1,89095717fd23377,1,1.19
1,89095923be77cf2,1,3.01
1,890961d665203cb,1,1.19
1,890961ebc46bea7,1,6.5
1,8909adc6c6b6f69,1,2.38
1,8909adc7bd167fb,1,4.85
1,8909af063d52024,1,2.59
1,890a0b0510c44bb,1,1.19
1,890a79dbc6f6754,1,1.19
1,890a97b58d581c0,1,3.41
1,890aad509581136,1,5.03
1,890b274b8991bb4,1,1.92
1,890c14a6fac858d,1,5.07
1,890c7b48bd08000,1,1.19
1,890cd359726fed0,1,1.19
1,890d6aaf7f14fd4,1,4.55
1,890d90e02fce5eb,1,5.6
1,890eac6c6ffc233,1,2.27
1,890ebf823bcbe4e,1,3.88
1,890eec4d7a91a34,1,5.4
1,890ef1c50da09a7,1,1.67
1,890f5c9b5567ac0,1,7.3
1,890f5f08a7e723d,1,4.35
1,890fab19881a9a1,1,4.7
1,890fac131bf2250,1,2.67
1,890fc464d9e3648,1,2.57
1,89100b03b335efd,1,1.59
1,89101ec0ac8efc8,1,3.81
1,8910e3532bb8fb4,1,1.44
1,891109908e0ffd3,1,4.46
1,891232974882acc,1,4.48
1,891232f139f1599,1,4.63
1,89123b302a64ce2,1,4.61
1,891242295be19da,1,5.83
1,891267d4916fee2,1,3.59
1,89128630f8d171a,1,7.88
1,8912b92480c1abc,1,3.68
1,8912c220d09a621,1,4.15
1,8912cead231dc3a,1,2.34
1,89131bab50da3bd,1,3.86
1,891386a6ac0fc1d,1,2.36
1,89138a1a8ee7236,1,2.91
1,8913a252904bcd2,1,4.09
1,8913c6b8e72c7d4,1,3.35
1,891475f865560df,1,2.27
1,8914880cd3c6757,1,2.18
1,8914baf8aa08245,1,4.25
1,8914dff426b1caf,1,3.49
1,8914e1334e73b84,1,6.8
1,89154552ea4334d,1,5.4
1,8915478373ae05c,1,3.11
1,89156137d220423,1,1.19
1,89156bcc44ca87d,1,4.32
1,8915d2865f01f28,1,2.86
1,8915eca17f4e9eb,1,3.78
1,891679916ee26b3,1,3.67
1,8916e5ebfd01e49,1,2.09
1,8916feca942bed6,1,1.19
1,89171ca70ac3b48,1,2.82
1,8917b354d7ca397,1,1.88
1,89180ca1597cf8c,1,2.78
1,89189ad96e76fd0,1,2.17
1,8919099b5b97b3b,1,1.19
1,8919116b00b34cf,1,3.76
1,8919aca3f5f4ef3,1,2.97
1,8919eb8c2a35840,2,2.93
1,891b04625f0d597,1,2.43
1,891b169737d6142,1,3.32
1,891b646cdfadb82,1,1.48
1,891baa7b6366243,1,5.43
1,891bc45017307dc,1,4.7
1,891be298738afbc,1,6.68
1,891c3a45dd79a19,1,5.49
1,891c862e3d8cab8,1,3.23
1,891cb46e113bfa4,1,6.7
1,891cc2e6d3dab3b,1,5.42
1,891cc45e4d3f930,1,5.25
1,891cc6648135baf,1,3.46
1,891cd4bd8e3a346,1,1.19
1,891cdbb93d383b5,1,5.05
1,891cfccc6b2854a,1,2.37
1,891d132706d5cd2,1,5.31
1,891d24865ac63d4,1,4.29
1,891d2fc9f3e56b9,1,1.19
1,891d56f64559171,1,4.07
1,891db18325c24e8,1,4.82
1,891dd5182a787ed,1,1.19
1,891e02ec8e411d9,1,4.39
1,891ef41ad055df6,1,1.19
1,891f596603c59c5,1,2.71
1,892000aab959745,1,2.05
1,89203b0e443eca6,1,4.66
1,8920b8e7f95b083,1,4.4
