date,city_id,weather
2023-01-01,1,clear
2023-01-01,2,rain
2023-01-01,3,clear
2023-01-01,4,clear
2023-01-01,5,clear
2023-01-02,1,clear
2023-01-02,2,clear
2023-01-02,3,clear
2023-01-02,4,clear
2023-01-02,5,clear
2023-01-03,1,clear
2023-01-03,2,clear
2023-01-03,3,clear
2023-01-03,4,clear
2023-01-03,5,rain
2023-01-04,1,clear
2023-01-04,2,rain
2023-01-04,3,snow
2023-01-04,4,rain
2023-01-04,5,rain
2023-01-05,1,rain
2023-01-05,2,clear
2023-01-05,3,clear
2023-01-05,4,clear
2023-01-05,5,rain
2023-01-06,1,clear
2023-01-06,2,clear
2023-01-06,3,clear
2023-01-06,4,clear
2023-01-06,5,clear
2023-01-07,1,clear
2023-01-07,2,clear
2023-01-07,3,rain
2023-01-07,4,rain
2023-01-07,5,clear
2023-01-08,1,clear
2023-01-08,2,clear
2023-01-08,3,clear
2023-01-08,4,clear
2023-01-08,5,rain
2023-01-09,1,rain
2023-01-09,2,rain
2023-01-09,3,rain
2023-01-09,4,snow
2023-01-09,5,clear
2023-01-10,1,clear
2023-01-10,2,clear
2023-01-10,3,clear
2023-01-10,4,rain
2023-01-10,5,clear
2023-01-11,1,clear
2023-01-11,2,clear
2023-01-11,3,clear
2023-01-11,4,clear
2023-01-11,5,clear
2023-01-12,1,clear
2023-01-12,2,rain
2023-01-12,3,clear
2023-01-12,4,rain
2023-01-12,5,snow
2023-01-13,1,rain
2023-01-13,2,clear
2023-01-13,3,clear
2023-01-13,4,rain
2023-01-13,5,clear
2023-01-14,1,clear
2023-01-14,2,rain
2023-01-14,3,rain
2023-01-14,4,rain
2023-01-14,5,rain
2023-01-15,1,clear
2023-01-15,2,clear
2023-01-15,3,clear
2023-01-15,4,clear
2023-01-15,5,clear
2023-01-16,1,rain
2023-01-16,2,clear
2023-01-16,3,rain
2023-01-16,4,clear
2023-01-16,5,clear
2023-01-17,1,clear
2023-01-17,2,clear
2023-01-17,3,clear
2023-01-17,4,rain
2023-01-17,5,clear
2023-01-18,1,rain
2023-01-18,2,rain
2023-01-18,3,clear
2023-01-18,4,rain
2023-01-18,5,clear
2023-01-19,1,clear
2023-01-19,2,clear
2023-01-19,3,clear
2023-01-19,4,rain
2023-01-19,5,rain
2023-01-20,1,clear
2023-01-20,2,rain
2023-01-20,3,clear
2023-01-20,4,clear
2023-01-20,5,rain
2023-01-21,1,clear
2023-01-21,2,rain
2023-01-21,3,clear
2023-01-21,4,clear
2023-01-21,5,clear
2023-01-22,1,clear
2023-01-22,2,clear
2023-01-22,3,clear
2023-01-22,4,clear
2023-01-22,5,clear
2023-01-23,1,clear
2023-01-23,2,clear
2023-01-23,3,clear
2023-01-23,4,rain
2023-01-23,5,clear
2023-01-24,1,rain
2023-01-24,2,clear
2023-01-24,3,clear
2023-01-24,4,clear
2023-01-24,5,rain
2023-01-25,1,clear
2023-01-25,2,rain
2023-01-25,3,clear
2023-01-25,4,rain
2023-01-25,5,rain
2023-01-26,1,clear
2023-01-26,2,rain
2023-01-26,3,clear
2023-01-26,4,clear
2023-01-26,5,clear
2023-01-27,1,clear
2023-01-27,2,clear
2023-01-27,3,clear
2023-01-27,4,clear
2023-01-27,5,clear
2023-01-28,1,rain
2023-01-28,2,clear
2023-01-28,3,rain
2023-01-28,4,clear
2023-01-28,5,snow
2023-01-29,1,rain
2023-01-29,2,rain
2023-01-29,3,rain
2023-01-29,4,rain
2023-01-29,5,rain
2023-01-30,1,clear
2023-01-30,2,clear
2023-01-30,3,clear
2023-01-30,4,clear
2023-01-30,5,clear
2023-01-31,1,clear
2023-01-31,2,clear
2023-01-31,3,rain
2023-01-31,4,clear
2023-01-31,5,clear
2023-02-01,1,clear
2023-02-01,2,rain
2023-02-01,3,clear
2023-02-01,4,clear
2023-02-01,5,rain
2023-02-02,1,clear
2023-02-02,2,clear
2023-02-02,3,clear
2023-02-02,4,rain
2023-02-02,5,clear
2023-02-03,1,clear
2023-02-03,2,clear
2023-02-03,3,rain
2023-02-03,4,clear
2023-02-03,5,clear
2023-02-04,1,clear
2023-02-04,2,rain
2023-02-04,3,rain
2023-02-04,4,clear
2023-02-04,5,clear
2023-02-05,1,rain
2023-02-05,2,clear
2023-02-05,3,rain
2023-02-05,4,rain
2023-02-05,5,clear
2023-02-06,1,clear
2023-02-06,2,clear
2023-02-06,3,clear
2023-02-06,4,clear
2023-02-06,5,clear
2023-02-07,1,clear
2023-02-07,2,clear
2023-02-07,3,clear
2023-02-07,4,rain
2023-02-07,5,clear
2023-02-08,1,clear
2023-02-08,2,rain
2023-02-08,3,clear
2023-02-08,4,clear
2023-02-08,5,clear
2023-02-09,1,clear
2023-02-09,2,rain
2023-02-09,3,clear
2023-02-09,4,clear
2023-02-09,5,clear
2023-02-10,1,clear
2023-02-10,2,rain
2023-02-10,3,clear
2023-02-10,4,rain
2023-02-10,5,clear
2023-02-11,1,clear
2023-02-11,2,clear
2023-02-11,3,clear
2023-02-11,4,clear
2023-02-11,5,rain
2023-02-12,1,rain
2023-02-12,2,snow
2023-02-12,3,clear
2023-02-12,4,rain
2023-02-12,5,clear
2023-02-13,1,clear
2023-02-13,2,clear
2023-02-13,3,clear
2023-02-13,4,clear
2023-02-13,5,rain
2023-02-14,1,clear
2023-02-14,2,clear
2023-02-14,3,clear
2023-02-14,4,rain
2023-02-14,5,clear
2023-02-15,1,clear
2023-02-15,2,rain
2023-02-15,3,clear
2023-02-15,4,clear
2023-02-15,5,clear
2023-02-16,1,clear
2023-02-16,2,clear
2023-02-16,3,clear
2023-02-16,4,rain
2023-02-16,5,rain
2023-02-17,1,clear
2023-02-17,2,rain
2023-02-17,3,clear
2023-02-17,4,rain
2023-02-17,5,clear
2023-02-18,1,clear
2023-02-18,2,clear
2023-02-18,3,clear
2023-02-18,4,clear
2023-02-18,5,clear
2023-02-19,1,clear
2023-02-19,2,clear
2023-02-19,3,clear
2023-02-19,4,clear
2023-02-19,5,clear
2023-02-20,1,clear
2023-02-20,2,clear
2023-02-20,3,rain
2023-02-20,4,clear
2023-02-20,5,clear
2023-02-21,1,snow
2023-02-21,2,clear
2023-02-21,3,rain
2023-02-21,4,rain
2023-02-21,5,rain
2023-02-22,1,clear
2023-02-22,2,clear
2023-02-22,3,rain
2023-02-22,4,clear
2023-02-22,5,clear
2023-02-23,1,clear
2023-02-23,2,clear
2023-02-23,3,rain
2023-02-23,4,rain
2023-02-23,5,clear
2023-02-24,1,rain
2023-02-24,2,clear
2023-02-24,3,clear
2023-02-24,4,rain
2023-02-24,5,clear
2023-02-25,1,clear
2023-02-25,2,clear
2023-02-25,3,clear
2023-02-25,4,clear
2023-02-25,5,clear
2023-02-26,1,rain
2023-02-26,2,clear
2023-02-26,3,clear
2023-02-26,4,clear
2023-02-26,5,rain
2023-02-27,1,clear
2023-02-27,2,clear
2023-02-27,3,rain
2023-02-27,4,clear
2023-02-27,5,clear
2023-02-28,1,clear
2023-02-28,2,clear
2023-02-28,3,clear
2023-02-28,4,clear
2023-02-28,5,clear
2023-03-01,1,clear
2023-03-01,2,clear
2023-03-01,3,rain
2023-03-01,4,clear
2023-03-01,5,rain
2023-03-02,1,clear
2023-03-02,2,clear
