earner_id,week,program,target_jobs,completed_jobs,achieved,bonus_eur
E10000,2023-W02,rides_quest,25,2,FALSE,40
E10000,2023-W03,rides_quest,25,2,FALSE,40
E10000,2023-W04,rides_quest,25,2,FALSE,40
E10000,2023-W05,rides_quest,25,2,FALSE,40
E10000,2023-W06,rides_quest,40,2,FALSE,80
E10000,2023-W08,rides_quest,15,3,FALSE,20
E10000,2023-W11,rides_quest,25,1,FALSE,40
E10000,2023-W13,rides_quest,15,3,FALSE,20
E10000,2023-W14,rides_quest,40,1,FALSE,80
E10000,2023-W16,rides_quest,25,3,FALSE,40
E10000,2023-W17,rides_quest,15,1,FALSE,20
E10001,2023-W02,rides_quest,15,1,FALSE,20
E10001,2023-W03,rides_quest,15,2,FALSE,20
E10001,2023-W05,rides_quest,15,2,FALSE,20
E10001,2023-W06,rides_quest,15,1,FALSE,20
E10001,2023-W07,rides_quest,25,2,FALSE,40
E10001,2023-W09,rides_quest,15,1,FALSE,20
E10001,2023-W12,rides_quest,25,1,FALSE,40
E10001,2023-W14,rides_quest,25,2,FALSE,40
E10001,2023-W15,rides_quest,40,1,FALSE,80
E10001,2023-W16,rides_quest,40,2,FALSE,80
E10002,2023-W01,rides_quest,15,2,FALSE,20
E10002,2023-W02,rides_quest,25,1,FALSE,40
E10002,2023-W03,rides_quest,25,3,FALSE,40
E10002,2023-W04,rides_quest,40,4,FALSE,80
E10002,2023-W05,rides_quest,25,2,FALSE,40
E10002,2023-W06,rides_quest,25,1,FALSE,40
E10002,2023-W07,rides_quest,40,2,FALSE,80
E10002,2023-W08,rides_quest,25,1,FALSE,40
E10002,2023-W11,rides_quest,15,1,FALSE,20
E10002,2023-W12,rides_quest,15,3,FALSE,20
E10002,2023-W14,rides_quest,15,1,FALSE,20
E10002,2023-W15,rides_quest,40,1,FALSE,80
E10002,2023-W17,rides_quest,15,1,FALSE,20
E10003,2023-W01,rides_quest,25,2,FALSE,40
E10003,2023-W02,rides_quest,25,1,FALSE,40
E10003,2023-W03,rides_quest,15,1,FALSE,20
E10003,2023-W05,rides_quest,15,2,FALSE,20
E10003,2023-W06,rides_quest,15,2,FALSE,20
E10003,2023-W09,rides_quest,15,1,FALSE,20
E10003,2023-W11,rides_quest,25,3,FALSE,40
E10003,2023-W13,rides_quest,15,4,FALSE,20
E10003,2023-W14,rides_quest,40,1,FALSE,80
E10003,2023-W15,rides_quest,25,2,FALSE,40
E10004,2023-W02,rides_quest,25,2,FALSE,40
E10004,2023-W03,rides_quest,25,2,FALSE,40
E10004,2023-W06,rides_quest,15,1,FALSE,20
E10004,2023-W07,rides_quest,25,2,FALSE,40
E10004,2023-W08,rides_quest,15,1,FALSE,20
E10004,2023-W09,rides_quest,25,1,FALSE,40
E10004,2023-W10,rides_quest,25,2,FALSE,40
E10004,2023-W12,rides_quest,15,1,FALSE,20
E10004,2023-W13,rides_quest,40,2,FALSE,80
E10004,2023-W14,rides_quest,25,1,FALSE,40
E10004,2023-W16,rides_quest,15,1,FALSE,20
E10004,2023-W17,rides_quest,15,3,FALSE,20
E10005,2023-W01,rides_quest,40,1,FALSE,80
E10005,2023-W02,rides_quest,40,1,FALSE,80
E10005,2023-W03,rides_quest,25,2,FALSE,40
E10005,2023-W05,rides_quest,15,1,FALSE,20
E10005,2023-W07,rides_quest,15,2,FALSE,20
E10005,2023-W08,rides_quest,40,1,FALSE,80
