merchant_id,city_id,lat,lon,hex_id9
M101,1,52.36991162,4.889973101,89fb0333e75a7e5
M102,1,52.41257823,4.906682348,897ca459179a8b6
M103,1,52.36848049,4.942467652,8992e4958d7c7b7
M104,1,52.36423153,4.910455547,89afb8e117ee3c1
M105,1,52.34626332,4.929958724,8999e1c824648b8
M106,1,52.37068012,4.937867021,89b81dfc46b9c33
M107,1,52.41274024,4.865237715,89915e2d22592a1
M108,1,52.39743996,4.925779062,89ef0e8243b1de6
M201,2,51.95779148,4.534937288,8990a10ce6edae9
M202,2,51.93563792,4.433770878,89e049659255fa2
M203,2,51.90668105,4.469489369,89c24c9e0c31436
M204,2,51.97123645,4.503842901,89bdaeedb148c29
M205,2,51.9213563,4.417009262,89db33da173fa71
M206,2,51.96655807,4.443426107,89c4b8709ee35ff
M207,2,51.88900065,4.45179697,895d22d4abe26c1
M208,2,51.96288718,4.451196235,89a258bda944a92
M301,3,52.04283254,5.099660493,89801d12e948bc7
M302,3,52.11169521,5.09301635,892ed1eaf916c91
M303,3,52.1367006,5.061159393,89d1e8eeef9c36a
M304,3,52.13492663,5.144166971,89c9c0d61493e9e
M305,3,52.14023122,5.101085123,8920e1da84c2f15
M306,3,52.11192958,5.150861656,896f552b8a24390
M307,3,52.07077176,5.153563494,89a103ec6bf59da
M308,3,52.13770046,5.090509296,89daf4dda7a8112
M401,4,51.41829235,5.47191672,894534f8a17e7e4
M402,4,51.39958302,5.483613469,89c6a6fc6d73b75
M403,4,51.44292696,5.53378827,893fc0defabac13
M404,4,51.44506291,5.414953416,8981bdb59e29800
M405,4,51.44692093,5.420902554,892061b014d7481
M406,4,51.45757184,5.433382838,89246abf46a38f6
M407,4,51.39419444,5.422125268,89d1f5507579ac1
M408,4,51.46110334,5.432454614,893048461a71f2f
M501,5,52.02178345,4.265048491,89dfe3460c46df0
M502,5,52.06983076,4.361101882,894808ce02efd83
M503,5,52.06557717,4.336116518,8967013517a9375
M504,5,52.09933768,4.244175874,894a5d32eedfd9f
M505,5,52.0295136,4.284701686,899179cb79aeda1
M506,5,52.09644546,4.311547998,893c70a821be4ec
M507,5,52.0957524,4.361243299,8905a4a35710ebf
M508,5,52.07901996,4.350516192,8963328eb493eaf
