order_id,courier_id,customer_id,merchant_id,city_id,vehicle_type,is_ev,start_time,end_time,pickup_lat,pickup_lon,pickup_hex_id9,drop_lat,drop_lon,drop_hex_id9,distance_km,duration_mins,basket_value_eur,delivery_fee_eur,tip_eur,net_earnings,payment_type,date
b9df6e21-db8c-4d99-8596-67d0b3ac1f7c,E10249,C3215,M107,1,scooter,TRUE,2023-04-22 13:22:00,2023-04-22 13:53:00,52.41501,4.86718,8981b17f1018117,52.35951,4.903,899a29fd4706501,3.52,31,20.69,3.81,0,3.81,card,2023-04-22
fddeb5a4-57db-4166-b279-1b189371c6cf,E10225,C3324,M506,5,bike,TRUE,2023-04-30 05:57:00,2023-04-30 06:29:00,52.09705,4.30919,89cc4bf9f3b47e6,52.07947,4.28517,89866d623bdf588,5.09,32,20.64,3.88,0,3.88,wallet,2023-04-30
2fc3861e-4a4b-421f-abec-5ecd5fd94b67,E10162,C3369,M406,4,bike,TRUE,2023-01-25 21:39:00,2023-01-25 21:49:00,51.45805,5.43455,89b99b19d3738ec,51.41013,5.44989,8905254a561cb08,1.38,10,26.44,4.02,0.26,4.28,wallet,2023-01-25
7f7cc1ef-625c-4d0b-ba56-43bb2378256b,E10347,C3651,M506,5,scooter,TRUE,2023-04-19 22:18:00,2023-04-19 22:48:00,52.09622,4.31497,89ffe6f30a4876a,52.04117,4.29106,896e5849fc58d1a,2.82,30,28.56,4.39,0,4.39,card,2023-04-19
f3c67354-8546-4fbe-970e-383c848361c5,E10269,C3449,M202,2,bike,TRUE,2023-01-04 12:07:00,2023-01-04 12:23:00,51.93573,4.42978,8957b0f253b0a68,51.89993,4.49094,89dd9b26161bfb1,4.72,16,29.78,3.58,0,3.58,wallet,2023-01-04
12ae1287-2767-4f83-bfca-d8ebeb9711fc,E10220,C3441,M301,3,bike,FALSE,2023-01-07 11:10:00,2023-01-07 11:34:00,52.04383,5.09515,894dd20a3573fd0,52.09249,5.17498,8984b6ced64b126,1.49,24,13.67,3.9,0.71,4.61,wallet,2023-01-07
4b404025-0742-49d5-802a-2e46ffff5859,E10312,C3683,M107,1,scooter,TRUE,2023-02-07 09:03:00,2023-02-07 09:44:00,52.41521,4.8606,8903b8bd23a462b,52.40338,4.94653,89771952ed8802d,3.79,41,19.47,3.31,0,3.31,wallet,2023-02-07
77854229-abf9-4e17-b926-fc1c7b9faafd,E10311,C3169,M504,5,scooter,TRUE,2023-02-14 21:26:00,2023-02-14 22:08:00,52.09866,4.23977,899470d692746fe,52.0338,4.32923,891fd135fcfc72e,2.89,42,22.89,3.48,0,3.48,card,2023-02-14
0e07efb9-926c-4e39-998d-4e95b9a9a5fe,E10242,C3252,M405,4,scooter,FALSE,2023-03-29 15:07:00,2023-03-29 15:51:00,51.44405,5.41842,896e9e06e22e8ac,51.46318,5.51987,891128b0f09de50,3.76,44,16.14,4.46,0,4.46,wallet,2023-03-29
dc9f2dfe-f17c-4264-b584-61c917628c13,E10327,C3496,M202,2,bike,FALSE,2023-04-25 03:25:00,2023-04-25 03:47:00,51.93448,4.42887,89f079bcc26fed5,51.9582,4.51769,8917e21e56e8c1b,1.77,22,21.62,2.75,0,2.75,card,2023-04-25
